Date,"('S&P 500', '^GSPC')","('EUR/USD', 'EURUSD=X')"
2010-01-05,0.009714268507055038,0.005764211655522716
2010-01-06,0.009275276343294775,0.005682473817111069
2010-01-07,0.00883861371327218,0.005568818482234324
2010-01-08,0.008499171419540288,0.005585368847477601
2010-01-11,0.00815161468195356,0.0056367497510361455
2010-01-12,0.007809832432602152,0.005710814315111193
2010-01-13,0.008146047081750152,0.005586362931876575
2010-01-14,0.008158091862797694,0.005494661270912905
2010-01-15,0.007827700526534755,0.005367651370729826
2010-01-19,0.008352780663356164,0.005494329541565231
2010-01-20,0.008804869042750622,0.005618241218160392
2010-01-21,0.009140493621692268,0.006090761914981269
2010-01-22,0.010736990072659588,0.005928558054545311
2010-01-25,0.012538731162014585,0.005814578553116946
2010-01-26,0.01192763041635953,0.005663758762262687
2010-01-27,0.011403071499099056,0.005617497995757634
2010-01-28,0.010888846967169902,0.0055313784271974736
2010-01-29,0.01107344846919781,0.005480722678589044
2010-02-01,0.011023971117385517,0.0055791343525821826
2010-02-02,0.011289851694540666,0.005525080670675459
2010-02-03,0.01137590185092395,0.005445268552116201
2010-02-04,0.01096066520806388,0.0054403406900378065
2010-02-05,0.014586153336933217,0.0058670494788808205
2010-02-08,0.013788149231744437,0.005805519426603159
2010-02-09,0.013377264055395252,0.0056668175484946275
2010-02-10,0.013224398892812392,0.005904396516328028
2010-02-11,0.012537031510517183,0.005764890557568698
2010-02-12,0.01219389195496664,0.005730153853999668
2010-02-16,0.011595488577057432,0.005630864957822693
2010-02-17,0.012250647690202262,0.005901360120612748
2010-02-18,0.011649837372172503,0.006304914414657677
2010-02-19,0.011192402442823927,0.006577794969265185
2010-02-22,0.01062384976355468,0.006882929347642511
2010-02-23,0.010101585113282388,0.006684846741975453
2010-02-24,0.010431422193228936,0.006618213383785117
2010-02-25,0.010305475412729886,0.006436248340238957
2010-02-26,0.009831070450534237,0.006256627819657359
2010-03-01,0.009354758776975836,0.0062863406875263384
2010-03-02,0.009394281210849708,0.0062134877165289865
2010-03-03,0.008962995312171946,0.006121896779276488
2010-03-04,0.008550687635590809,0.006104854266436807
2010-03-05,0.008225781019910918,0.006238488890116492
2010-03-08,0.008909558749823642,0.006113722262470052
2010-03-09,0.008505547819632813,0.0059500797204185005
2010-03-10,0.008134778739180719,0.0057927966702560835
2010-03-11,0.00787987278650988,0.005674118971248164
2010-03-12,0.007626086254340792,0.00557218341663866
2010-03-15,0.007326365625767868,0.00560666643769619
2010-03-16,0.007046454975193589,0.005662229169027049
2010-03-17,0.007145662081031452,0.005717938763375714
2010-03-18,0.0070668497672066516,0.005589616655443736
2010-03-19,0.00681660701536263,0.005807724757548794
2010-03-22,0.006832007711580581,0.005791668624787115
2010-03-23,0.006737829685167123,0.005663061121080945
2010-03-24,0.006819342385558412,0.005749854561197982
2010-03-25,0.0068703063418515415,0.006041620363789545
2010-03-26,0.00667321267525649,0.005890969305887329
2010-03-29,0.006449756281452896,0.005993037814319495
2010-03-30,0.006440202137957305,0.005954056449455384
2010-03-31,0.0062413862964170435,0.005868850275296841
2010-04-01,0.006187257437727671,0.005885231639046272
2010-04-05,0.00636845980865047,0.005868464057860821
2010-04-06,0.006577750917931391,0.005919507722828621
2010-04-07,0.006370305094590916,0.005936840666169065
2010-04-08,0.006517944685980941,0.005844376684818507
2010-04-09,0.006364259993482775,0.005694597006102849
2010-04-12,0.0064495773272037595,0.006022378507903569
2010-04-13,0.006255242960928513,0.006071163000450129
2010-04-14,0.0060699326705003585,0.0059109387893508235
2010-04-15,0.006753177188579766,0.005808234233969873
2010-04-16,0.006522716381653112,0.005809206294736022
2010-04-19,0.008285077374640938,0.005769818601235344
2010-04-20,0.008016338731736974,0.0056247456337688
2010-04-21,0.008019615470634551,0.005545605555116865
2010-04-22,0.007701099390516938,0.005454440337607041
2010-04-23,0.00740554660037095,0.005679299117004329
2010-04-26,0.007399563240935604,0.005859624976969907
2010-04-27,0.007287664200936786,0.005712687908248374
2010-04-28,0.010418039508649099,0.006773039680317914
2010-04-29,0.010060232339795172,0.006618768053812326
2010-04-30,0.010307161542883095,0.006488344792869014
2010-05-03,0.01124799219797014,0.006334997090863396
2010-05-04,0.011355089589904372,0.0063730999945192535
2010-05-05,0.01332534801162557,0.00738306826787917
2010-05-06,0.01280718861361616,0.007608893083188125
2010-05-07,0.016113263882407136,0.008035225210617919
2010-05-10,0.01602906389558183,0.00808925084850575
2010-05-11,0.020190333699353538,0.007851397363014162
2010-05-12,0.01904821764500693,0.008046764082902915
2010-05-13,0.018396740532013418,0.007801263142116691
2010-05-14,0.01780324349515687,0.0077572123163428
2010-05-17,0.017891263060861907,0.008187135665488055
2010-05-18,0.01685564753021673,0.007957548017710857
2010-05-19,0.0165817125877874,0.008633350254286137
2010-05-20,0.01574154721752749,0.009236093302130193
2010-05-21,0.019601510759705232,0.009075456016000278
2010-05-24,0.018991999700719672,0.008929802764559437
2010-05-25,0.01840103647980961,0.00947723829667977
2010-05-26,0.017331773305205966,0.009172977519464217
2010-05-27,0.016457040345647458,0.009418374773838268
2010-05-28,0.01846180109863769,0.009664535815048813
2010-06-01,0.01787937613583026,0.009446259886687609
2010-06-02,0.017782296891860984,0.009172162319635305
2010-06-03,0.01849872288859147,0.008880630320822076
2010-06-04,0.01745453633006434,0.008691016110898887
2010-06-07,0.01995387340037786,0.009178074844425002
2010-06-08,0.019321928050083367,0.008929107579930599
2010-06-09,0.018476060971805097,0.008696866988250746
2010-06-10,0.017528842116210454,0.008432269281358715
