Date,u_spx,u_eurusd
2007-01-05,0.15233950775144103,0.9650872934492839
2007-01-08,0.5670230333387272,0.22340158307215988
2007-01-09,0.4364478841720427,0.760114409728827
2007-01-10,0.5779100503214449,0.8448312270920634
2007-01-11,0.8214412930210131,0.7881450719895151
2007-01-12,0.7793443498606262,0.3003551973554965
2007-01-16,0.5324697325054197,0.5483862092420313
2007-01-17,0.38888584319529423,0.3583730170672079
2007-01-18,0.24481995070671791,0.34285886658410536
2007-01-19,0.6450421226246823,0.43414232553461773
2007-01-22,0.1486582697934507,0.6459220178165241
2007-01-23,0.6643009877982591,0.09619273957648093
2007-01-24,0.9021520242581182,0.8288264222248065
2007-01-25,0.03805743487142696,0.6795376316810873
2007-01-26,0.3733544861444652,0.5937038867286534
2007-01-29,0.4052968715771549,0.2613629432697614
2007-01-30,0.7480546404124785,0.4672934165034398
2007-01-31,0.8067001131433577,0.13655170357354854
2007-02-01,0.772164181976238,0.5117661309770639
2007-02-02,0.5849521259715424,0.8611880917820746
2007-02-05,0.4002244787586636,0.7367918793141455
2007-02-06,0.49765428960131897,0.17737372328856782
2007-02-07,0.5542185720312065,0.229584983559113
2007-02-08,0.37303497536995434,0.36559641982496344
2007-02-09,0.08956922376308057,0.7350635890885802
2007-02-12,0.257152375626852,0.8033443344282255
2007-02-13,0.8302670509790945,0.12275751470174004
2007-02-14,0.8631516096987193,0.04558908237105167
2007-02-15,0.5551686894810588,0.49921313591815963
2007-02-16,0.400374735785885,0.48250798343554424
2007-02-20,0.6445552981845422,0.42485978987907586
2007-02-21,0.3647766246249433,0.5687641172087181
2007-02-22,0.3819804506876575,0.6159945810654661
2007-02-23,0.21435360838163048,0.20237941824573366
2007-02-26,0.35061731145551633,0.3081280225876011
2007-02-27,0.0003853302844499872,0.22860341422597336
2007-02-28,0.5536932592097056,0.5125979474153837
2007-03-01,0.43646549926797196,0.8784394096468913
2007-03-02,0.24077304022509394,0.5607284940367464
2007-03-05,0.267347378983564,0.9297507125598006
2007-03-06,0.7898361315344471,0.21285533022764502
2007-03-07,0.44532697842145974,0.21955768099169623
2007-03-08,0.6633381422292155,0.7380356006498869
2007-03-09,0.5131512960875761,0.7007009568900617
2007-03-12,0.5632543091617753,0.10541037159566526
2007-03-13,0.060891192282015436,0.46374597127493766
2007-03-14,0.6169317059438661,0.1961380618893937
2007-03-15,0.5920910828096148,0.19066902407640268
2007-03-16,0.37794896925049815,0.25750040493814264
2007-03-19,0.7714207471200318,0.5277521228441814
2007-03-20,0.6966462714290118,0.4812539960887912
2007-03-21,0.9095701355291383,0.06552235843607339
2007-03-22,0.5017874242643325,0.8378581006880722
2007-03-23,0.5160410471922796,0.7581399196992736
2007-03-26,0.5155668989048662,0.2800026412743798
2007-03-27,0.2260116333089246,0.2674435251284937
2007-03-28,0.1692144268439985,0.8056597126036287
2007-03-29,0.6033073505310709,0.3816899279641243
2007-03-30,0.43020573833416514,0.3217561013505402
2007-04-02,0.5844144011287978,0.41172992173664014
2007-04-03,0.8448720776496625,0.8030510808720861
2007-04-04,0.5527499384431689,0.2046663537697873
2007-04-05,0.6304184812228422,0.1494593657961083
2007-04-09,0.5062900505774088,0.8880196035329521
2007-04-10,0.6174621371967761,0.12615727493068168
2007-04-11,0.14352610389211456,0.426051434242385
2007-04-12,0.7591017817573549,0.18324947431499808
2007-04-13,0.6811477304868305,0.2961496676493005
2007-04-16,0.9228127543785034,0.43617115983059285
2007-04-17,0.6358803479433945,0.21871332779690836
2007-04-18,0.5106646259913148,0.22915192167776022
2007-04-19,0.37331486607381803,0.41708668472548954
2007-04-20,0.9175360113194458,0.74036332856466
2007-04-23,0.3278442829497302,0.550853181874266
2007-04-24,0.41303087209742373,0.17164858545267597
2007-04-25,0.9440983269448161,0.46400040967254275
2007-04-26,0.43528194812460735,0.8266948640760807
2007-04-27,0.43192568370950923,0.14338706645533164
2007-04-30,0.058801496551808836,0.5007807883138969
2007-05-01,0.590289172831383,0.8331823087251814
2007-05-02,0.8215301551020414,0.6100146589108346
2007-05-03,0.7482693307244883,0.7338724457598047
2007-05-04,0.6202700513031432,0.2844533547715622
2007-05-07,0.6433422582610269,0.40863559272182903
2007-05-08,0.3761506803026181,0.8646418540171085
2007-05-09,0.6811691823437458,0.6204422858467407
2007-05-10,0.013612833427657118,0.8035786318944982
2007-05-11,0.8042595305289467,0.260593428433319
2007-05-14,0.4136124091186413,0.3306325235182713
2007-05-15,0.39838561119726257,0.16062655940510026
2007-05-16,0.8332821769130385,0.8813155029810259
2007-05-17,0.4430402948151413,0.7019039301860122
2007-05-18,0.7921027306720506,0.3952042763916278
2007-05-21,0.5768567408852892,0.8084519156465981
2007-05-22,0.4237491525010523,0.6186931505578346
2007-05-23,0.3765709035574273,0.461949960124455
2007-05-24,0.059150963021096195,0.7138923492930873
2007-05-25,0.6980945200866879,0.36065150561631387
2007-05-29,0.565878952022278,0.5287587609148745
2007-05-30,0.8390841083180959,0.6209431317352571
2007-05-31,0.5050221737598873,0.3151350101816859
2007-06-01,0.6822322050277005,0.609764119604086
2007-06-04,0.5907902918086716,0.15550882120252657
2007-06-05,0.16835524470168794,0.2777204997472104
2007-06-06,0.0819686277152364,0.7040743759868642
2007-06-07,0.026799555800572413,0.9019961244485769
2007-06-08,0.7706860568974776,0.8961149762529477
2007-06-11,0.5342032826073992,0.5577612833768886
2007-06-12,0.16168621450937867,0.8457305164626073
2007-06-13,0.8621662702793886,0.4906015260901033
2007-06-14,0.6751230842375997,0.451270938732301
2007-06-15,0.7194385730896525,0.10102507510433295
2007-06-18,0.4398633400007729,0.23176395498340807
2007-06-19,0.5425290499458464,0.4248108119346685
