Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_EURUSD,Gaussian_Vol_SPX,Gaussian_Vol_EURUSD,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_EURUSD,StudentT_Vol_SPX,StudentT_Vol_EURUSD,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_EURUSD,Gumbel_Vol_SPX,Gumbel_Vol_EURUSD,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_EURUSD,Clayton_Vol_SPX,Clayton_Vol_EURUSD
2020-01-02,-0.00849219525213125,-0.010167595921385768,0.392586638621572,0.6074121729644256,0.511111592190522,0.3303450126119692,-0.008949061996483402,-0.011418158420587488,0.392586638621572,0.6074121729644256,0.511111592190522,0.3303450126119692,-0.036075429602355616,-0.036075429602355616,0.392586638621572,0.6074121729644256,0.511111592190522,0.3303450126119692,-0.008805686972101025,-0.011145453829124073,0.392586638621572,0.6074121729644256,0.511111592190522,0.3303450126119692
2020-01-03,-0.0083440645104593,-0.010865202380177606,0.3982302304878163,0.6017685532089768,0.4947520896236667,0.3274103268349756,-0.008443390893580106,-0.011419507058128536,0.3982302304878163,0.6017685532089768,0.4947520896236667,0.3274103268349756,-0.03539272944952709,-0.03539272944952709,0.3982302304878163,0.6017685532089768,0.4947520896236667,0.3274103268349756,-0.008640241336547717,-0.010866522869979835,0.3982302304878163,0.6017685532089768,0.4947520896236667,0.3274103268349756
2020-01-06,-0.009582740788633071,-0.011838486766849723,0.3525513970877571,0.6474475594175004,0.6204607777155161,0.3378564191647625,-0.009878917975833842,-0.01331964464398059,0.3525513970877571,0.6474475594175004,0.6204607777155161,0.3378564191647625,-0.03921344271614473,-0.039213442716144735,0.3525513970877571,0.6474475594175004,0.6204607777155161,0.3378564191647625,-0.009912603110733916,-0.011816437875415366,0.3525513970877571,0.6474475594175004,0.6204607777155161,0.3378564191647625
2020-01-07,-0.0092698693405967,-0.011707848423450176,0.3591056271620148,0.6408932891198384,0.5913837384618685,0.3313644126082525,-0.009457231111946884,-0.012484214842411207,0.3591056271620148,0.6408932891198384,0.5913837384618685,0.3313644126082525,-0.03808720926241818,-0.038087209262418174,0.3591056271620148,0.6408932891198384,0.5913837384618685,0.3313644126082525,-0.009025245085297649,-0.01123689710581535,0.3591056271620148,0.6408932891198384,0.5913837384618685,0.3313644126082525
2020-01-08,-0.009174998428691298,-0.011399258956472945,0.36203232421002884,0.6379665970654922,0.5914082877611773,0.3356114849274352,-0.009696959406463966,-0.012151105074761574,0.36203232421002884,0.6379665970654922,0.5914082877611773,0.3356114849274352,-0.03837665266349045,-0.03837665266349045,0.36203232421002884,0.6379665970654922,0.5914082877611773,0.3356114849274352,-0.010050029738100635,-0.012493881063007134,0.36203232421002884,0.6379665970654922,0.5914082877611773,0.3356114849274352
2020-01-09,-0.009241195427879226,-0.011726035638630315,0.3775695078235896,0.622429391719433,0.5656099279826077,0.3431024706892254,-0.009887115088885224,-0.012658305588397263,0.3775695078235896,0.622429391719433,0.5656099279826077,0.3431024706892254,-0.038244365609282724,-0.038244365609282724,0.3775695078235896,0.622429391719433,0.5656099279826077,0.3431024706892254,-0.009620270054409016,-0.01226805124247891,0.3775695078235896,0.622429391719433,0.5656099279826077,0.3431024706892254
2020-01-10,-0.008960766729626276,-0.011393249059325351,0.3917552590381537,0.6082436203489128,0.5427776193979066,0.34959016383166147,-0.009163992495022739,-0.012241501923495584,0.3917552590381537,0.6082436203489128,0.5427776193979066,0.34959016383166147,-0.03802535791269593,-0.03802535791269592,0.3917552590381537,0.6082436203489128,0.5427776193979066,0.34959016383166147,-0.0095380019354176,-0.011554628697560545,0.3917552590381537,0.6082436203489128,0.5427776193979066,0.34959016383166147
2020-01-13,-0.009138607057658281,-0.011252794492197989,0.38142357758492934,0.6185752998755477,0.5510499071239505,0.3397863235815388,-0.009234575879473208,-0.01180547753197823,0.38142357758492934,0.6185752998755477,0.5510499071239505,0.3397863235815388,-0.03759095810305882,-0.037590958103058805,0.38142357758492934,0.6185752998755477,0.5510499071239505,0.3397863235815388,-0.0090401908601083,-0.011271182927783506,0.38142357758492934,0.6185752998755477,0.5510499071239505,0.3397863235815388
2020-01-14,-0.00868565289847078,-0.010535968390052164,0.38490724173763946,0.6150915974470754,0.5298789612932358,0.3315835402283051,-0.009061690998620649,-0.01154707589678361,0.38490724173763946,0.6150915974470754,0.5298789612932358,0.3315835402283051,-0.036460906606118115,-0.036460906606118115,0.38490724173763946,0.6150915974470754,0.5298789612932358,0.3315835402283051,-0.00886674055760618,-0.011092121061461204,0.38490724173763946,0.6150915974470754,0.5298789612932358,0.3315835402283051
2020-01-15,-0.008530928552012575,-0.010581219381012268,0.3866609460453276,0.613337878530476,0.5218013041631896,0.32895438709709396,-0.008771014735883749,-0.011400774957073243,0.3866609460453276,0.613337878530476,0.5218013041631896,0.32895438709709396,-0.03607726931411352,-0.03607726931411353,0.3866609460453276,0.613337878530476,0.5218013041631896,0.32895438709709396,-0.009341602555340845,-0.011842252042256904,0.3866609460453276,0.613337878530476,0.5218013041631896,0.32895438709709396
