Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_EURUSD,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_EURUSD,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_EURUSD,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_EURUSD
2020-01-02,-0.00828287213569729,-0.010466771728261597,0.3975784583568474,0.6024202582757884,-0.00854497267122108,-0.011159940160437986,0.3975784583568474,0.6024202582757884,-0.03612164942098201,-0.03612164942098202,0.3975784583568474,0.6024202582757884,-0.008618256951438091,-0.01094682528732511,0.3975784583568474,0.6024202582757884
2020-01-03,-0.007966625544199501,-0.009794599039659372,0.3971282771997422,0.6028704144165637,-0.008337277491618654,-0.010958342478806662,0.3971282771997422,0.6028704144165637,-0.035417329454958096,-0.035417329454958096,0.3971282771997422,0.6028704144165637,-0.008094251310087336,-0.01041218397586388,0.3971282771997422,0.6028704144165637
2020-01-06,-0.008060209255946294,-0.010081587339281045,0.3768133944613939,0.6231853370218794,-0.008636619059652852,-0.011122230604504641,0.3768133944613939,0.6231853370218794,-0.03582972799121615,-0.035829727991216156,0.3768133944613939,0.6231853370218794,-0.008811765868329798,-0.011346042199070925,0.3768133944613939,0.6231853370218794
2020-01-07,-0.00841174122693597,-0.010656620577820419,0.37764082970896296,0.622357942604924,-0.008817922360399699,-0.011457112755846155,0.37764082970896296,0.622357942604924,-0.0370533933901288,-0.0370533933901288,0.37764082970896296,0.622357942604924,-0.009036189599462478,-0.011567486889452597,0.37764082970896296,0.622357942604924
2020-01-08,-0.00824204708470064,-0.010422050469840339,0.37463890837491437,0.6253598384700314,-0.00799364944706551,-0.010102097980506795,0.37463890837491437,0.6253598384700314,-0.0361854691019013,-0.036185469101901305,0.37463890837491437,0.6253598384700314,-0.008402960896707955,-0.01048517144365436,0.37463890837491437,0.6253598384700314
2020-01-09,-0.00813375737197192,-0.010452238167014688,0.38069986737762007,0.6192988653530904,-0.00822181797729246,-0.01065141404743202,0.38069986737762007,0.6192988653530904,-0.036008932805680356,-0.03600893280568036,0.38069986737762007,0.6192988653530904,-0.008403160061849874,-0.010706843125177088,0.38069986737762007,0.6192988653530904
2020-01-10,-0.00843037300234534,-0.010552856149811662,0.38527739587781484,0.6147213462754261,-0.008774699658547462,-0.011336045474343337,0.38527739587781484,0.6147213462754261,-0.03644351346923165,-0.03644351346923165,0.38527739587781484,0.6147213462754261,-0.008913900661396048,-0.011092535528346626,0.38527739587781484,0.6147213462754261
2020-01-13,-0.008462264262442757,-0.010816256821477733,0.38282408094112436,0.6171746869406833,-0.008272937122744132,-0.011016882933212896,0.38282408094112436,0.6171746869406833,-0.0371151427284756,-0.0371151427284756,0.38282408094112436,0.6171746869406833,-0.008852821377212675,-0.01092762780961361,0.38282408094112436,0.6171746869406833
2020-01-14,-0.008170624029586696,-0.010185975793236057,0.3804230631002835,0.6195756741862651,-0.008262410478980357,-0.010317355540089342,0.3804230631002835,0.6195756741862651,-0.036128717093417494,-0.036128717093417494,0.3804230631002835,0.6195756741862651,-0.00843587851687671,-0.010731368171676369,0.3804230631002835,0.6195756741862651
2020-01-15,-0.008446325669999897,-0.010430348521546104,0.36652434300560915,0.6334744032894911,-0.008360811028379348,-0.010386965191970809,0.36652434300560915,0.6334744032894911,-0.03584534155302678,-0.03584534155302677,0.36652434300560915,0.6334744032894911,-0.00872115464493557,-0.011041449649154439,0.36652434300560915,0.6334744032894911
2020-01-16,-0.007854046197502833,-0.010011342821194494,0.3683792920351228,0.631619422340203,-0.008006790634170674,-0.010451729736964323,0.3683792920351228,0.631619422340203,-0.0350293950372159,-0.03502939503721591,0.3683792920351228,0.631619422340203,-0.00853979646836284,-0.010824086996637582,0.3683792920351228,0.631619422340203
2020-01-17,-0.007488803937980053,-0.009809668371692259,0.36748099605826895,0.6325176821229339,-0.007689789626344037,-0.010286976496039164,0.36748099605826895,0.6325176821229339,-0.03403547242330378,-0.034035472423303785,0.36748099605826895,0.6325176821229339,-0.00859886349977134,-0.010998431375982822,0.36748099605826895,0.6325176821229339
2020-01-21,-0.007943854792220862,-0.009728348876930951,0.35113854283006074,0.6488601769807041,-0.008437579006699723,-0.011612985590148221,0.35113854283006074,0.6488601769807041,-0.03444701571905712,-0.03444701571905711,0.35113854283006074,0.6488601769807041,-0.00823091154741898,-0.010145467815708084,0.35113854283006074,0.6488601769807041
2020-01-22,-0.007536892066047421,-0.009372208227066858,0.3486200799834657,0.6513786182889747,-0.007865634702403807,-0.010339393920123457,0.3486200799834657,0.6513786182889747,-0.03376462636268536,-0.033764626362685346,0.3486200799834657,0.6513786182889747,-0.008001824418333211,-0.010435232844201678,0.3486200799834657,0.6513786182889747
2020-01-23,-0.00786656195835231,-0.009849791459035598,0.3606612586064142,0.639337435270601,-0.008162908150068867,-0.010751734846145786,0.3606612586064142,0.639337435270601,-0.034169742607293885,-0.034169742607293885,0.3606612586064142,0.639337435270601,-0.00865077620308039,-0.010744888163510628,0.3606612586064142,0.639337435270601
2020-01-24,-0.007619945052312206,-0.009793947152481764,0.3616367219031874,0.6383619331389722,-0.007623965713928134,-0.009645331163278485,0.3616367219031874,0.6383619331389722,-0.03322209265617803,-0.03322209265617803,0.3616367219031874,0.6383619331389722,-0.007674799051087201,-0.009842383281657839,0.3616367219031874,0.6383619331389722
