Date,"('S&P 500', '^GSPC')","('EUR/USD', 'EURUSD=X')","('S&P 500', '^GSPC')_u_empirical","('S&P 500', '^GSPC')_u_t","('EUR/USD', 'EURUSD=X')_u_empirical","('EUR/USD', 'EURUSD=X')_u_t"
2010-01-05,0.002400948094821223,-0.003950638851314794,0.6415354874344104,0.6489747375619863,0.1988400994200497,0.20114342028737406
2010-01-06,-0.00016451198411508283,0.002726688053969362,0.49378624689312345,0.5016035342006893,0.7191383595691798,0.717359828372681
2010-01-07,0.0032833344827157473,-0.005908642480256188,0.6818558409279205,0.6930613137764987,0.12151339409003038,0.11504732362227849
2010-01-08,0.0021676992031577167,0.006558234409213221,0.6293841480254073,0.6366016505377583,0.9052747859707263,0.9028168266586817
2010-01-11,0.001035347756646134,0.007006759453969871,0.5705606186136426,0.5730156545740791,0.9174261253797293,0.9149843792703509
2010-01-12,-0.010135330310883057,-0.0023115529342576744,0.11930405965202982,0.11522324930178687,0.3059928196630765,0.3066986845039551
2010-01-13,0.007581572461421922,0.003342299823179252,0.8309859154929577,0.8424256259781763,0.7594587130626899,0.7583002568873285
2010-01-14,0.0017136025494756868,-0.0015744529391696254,0.6100524716929026,0.6117459022861658,0.3587406793703397,0.36344304194207905
2010-01-15,-0.011592010173147085,-0.007460521072643619,0.10411488539077603,0.09474841112002913,0.07263186964926815,0.07246972838993225
2010-01-19,0.0117122673357986,-0.007589846435103439,0.9116266224799779,0.9111932318887651,0.06987020160176746,0.06971626732126449
2010-01-20,-0.0113642704737998,-0.011943572246225989,0.10660038663352665,0.09761511021127707,0.0231980115990058,0.019561044296958766
2010-01-21,-0.0198365411449263,-0.0008650054796050728,0.03783485225075946,0.03835151337541195,0.41784037558685444,0.4220600052818066
2010-01-22,-0.023099663502047476,0.0032001386225973694,0.026788180060756697,0.028918518900078842,0.7528307097486882,0.7492299009096126
2010-01-25,0.003877675181857513,0.0007164831160053353,0.7067108533554267,0.7201461216551064,0.5531621099143883,0.5584921420468838
2010-01-26,-0.004921941719724084,-0.004719675880697103,0.23750345208505938,0.25225312643012543,0.1643192488262911,0.162357566963169
2010-01-27,0.004158398996673312,-0.003574852744656595,0.71996685998343,0.7321818524367667,0.22203811101905552,0.22260073149955342
2010-01-28,-0.012598009406217756,-0.004413794874222796,0.09141121237227286,0.08334466256721436,0.1767467550400442,0.17697216004158411
2010-01-29,-0.010587682921921079,-0.007185091083131607,0.11405689036177852,0.10829395453222625,0.08285004142502071,0.07869954473574697
2010-02-01,0.013455421674431159,0.004401870683041155,0.9348246340789838,0.9283025645638268,0.8224247445457056,0.8184391385559464
2010-02-02,0.012179636573264303,0.003609610809845354,0.9182546257939795,0.9162794947036206,0.7757525545429439,0.774716820028386
2010-02-03,-0.006199234254477031,-0.005314318140368462,0.20629660314830156,0.20645080160210386,0.14194973764153548,0.13688460774054537
2010-02-04,-0.0323457399217454,-0.011213339747927778,0.010770505385252692,0.01512256683365816,0.027616680475006903,0.02402861634472406
2010-02-05,0.0021830464888881063,-0.004650849964632222,0.6299364816349075,0.637424360520848,0.16790941728804198,0.16555421187255714
2010-02-08,-0.00961268697231269,-0.0017789007597792368,0.1275890637945319,0.12395757307088218,0.3465893399613367,0.3472175583492787
2010-02-09,0.012245957901647873,0.009367123087229373,0.9196354598177299,0.9169692562855276,0.9571941452637392,0.9579692271067292
2010-02-10,-0.00294495329994592,-0.0020128237268600252,0.31731565865782935,0.34261763222392844,0.3264291632145816,0.3290944685246858
2010-02-11,0.00892399846316279,-0.0051327432102632065,0.860259596796465,0.8705284260897757,0.148025407346037,0.14426325365851858
2010-02-12,-0.003458249991879627,-0.003348368496967844,0.2982601491300746,0.3168957052803453,0.23336095001380833,0.2363361171396639
2010-02-16,0.017130769664322937,0.009725277461913305,0.9649268157967412,0.9520209940969276,0.9613366473349904,0.9621790514754738
2010-02-17,0.0035191207247718776,-0.011622300345139301,0.6929025131179233,0.704065357978978,0.024855012427506214,0.021403716515141842
2010-02-18,0.005853273861856967,-0.010666069809797613,0.7807235570284452,0.7947162705611268,0.031206848936757802,0.02810244666593852
2010-02-19,0.0014743509916525092,0.011424729306637432,0.5945871306268986,0.5982815656279107,0.9792874896437448,0.976852466734668
2010-02-22,-0.0017562889968588185,-0.0006142455680992403,0.38856669428334717,0.40743590533446405,0.4371720519193593,0.4434318404535007
2010-02-23,-0.012886528817137196,-0.0057128800452698365,0.08864954432477216,0.08041683065463802,0.12979839823253245,0.1218612737866685
2010-02-24,0.008963635825251387,0.001270998544127222,0.8613642640154653,0.8712590780908069,0.6075669704501518,0.605287386999954
2010-02-25,-0.00279309242480365,-0.00044821063794126,0.32587682960508146,0.35051071932111627,0.4523612261806131,0.4577075871274069
2010-02-26,0.0006945086849194486,0.007075365936273486,0.548191107428887,0.5529924400568438,0.9190831262082297,0.9167100843853369
2010-03-01,0.00939737355166524,-0.004991575070242714,0.8682684341342171,0.8789229216461655,0.15603424468378901,0.15023964484930125
2010-03-02,0.0016178471309477732,0.004388361467362745,0.6045291355979011,0.6063854760007366,0.8207677437172052,0.8177550055015174
2010-03-03,-0.0002807743505380976,0.006008717041356619,0.48771057718862193,0.49460867490474325,0.8867716100524717,0.8856385150286228
2010-03-04,0.003019272207632884,-0.008542271810468162,0.6699806683236675,0.6803402241187135,0.0544048605357636,0.05243750510965027
2010-03-05,0.013200398929665486,0.0033862767112952095,0.932062966031483,0.926096570633569,0.7630488815244407,0.7610585432184014
