,Ticker,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
S&P 500,^GSPC,3620.0,0.00042281723195325443,0.010981738530793922,-0.12765219747281742,-0.0038712246498783533,0.0006530900351451071,0.0056824016232849784,0.08968323251796326,-0.7222397769288494,13.257967692560047
EUR/USD,EURUSD=X,3620.0,-7.988325565363691e-05,0.005522650328126229,-0.028144080771162875,-0.003213222851675437,0.0,0.003060468762878744,0.031262324758573094,-0.05831014339000226,2.0879388774988477
