,S&P 500,EUR/USD
Ticker,^GSPC,EURUSD=X
Date,,
2010-01-04,1132.989990234375,1.4423978328704834
2010-01-05,1136.52001953125,1.4365959167480469
2010-01-06,1137.1400146484375,1.4404033422470093
2010-01-07,1141.68994140625,1.4318032264709473
2010-01-08,1144.97998046875,1.44110906124115
2010-01-11,1146.97998046875,1.4511260986328125
2010-01-12,1136.219970703125,1.447659969329834
2010-01-13,1145.6800537109375,1.4523905515670776
2010-01-14,1148.4599609375,1.4499897956848145
2010-01-15,1136.030029296875,1.4390974044799805
2010-01-19,1150.22998046875,1.4281021356582642
2010-01-20,1138.0400390625,1.4110342264175415
2010-01-21,1116.47998046875,1.4097015857696533
2010-01-22,1091.760009765625,1.414107084274292
2010-01-25,1096.780029296875,1.4150075912475586
2010-01-26,1092.1700439453125,1.4082324504852295
2010-01-27,1097.5,1.4030951261520386
2010-01-28,1084.530029296875,1.3968042135238647
2010-01-29,1073.8699951171875,1.3866932392120361
2010-02-01,1089.18994140625,1.3926994800567627
2010-02-02,1103.3199462890625,1.3976240158081055
2010-02-03,1097.280029296875,1.3901052474975586
2010-02-04,1063.1099853515625,1.3744947910308838
2010-02-05,1066.18994140625,1.368007779121399
2010-02-08,1056.739990234375,1.3654673099517822
2010-02-09,1070.52001953125,1.378207802772522
2010-02-10,1068.1300048828125,1.3753266334533691
2010-02-11,1078.469970703125,1.3681762218475342
2010-02-12,1075.510009765625,1.363493800163269
2010-02-16,1094.8699951171875,1.3767088651657104
2010-02-17,1099.510009765625,1.3606922626495361
2010-02-18,1106.75,1.3461486101150513
2010-02-19,1109.1700439453125,1.3615074157714844
2010-02-22,1108.010009765625,1.3605626821517944
2010-02-23,1094.5999755859375,1.3527040481567383
2010-02-24,1105.239990234375,1.354316234588623
2010-02-25,1102.93994140625,1.3536012172698975
2010-02-26,1104.489990234375,1.3631035089492798
2010-03-01,1115.7099609375,1.356208086013794
2010-03-02,1118.31005859375,1.3620638847351074
2010-03-03,1118.7900390625,1.3701633214950562
2010-03-04,1122.969970703125,1.3584003448486328
2010-03-05,1138.699951171875,1.3628991842269897
2010-03-08,1138.5,1.3616927862167358
2010-03-09,1140.449951171875,1.3606922626495361
2010-03-10,1145.6099853515625,1.3643310070037842
2010-03-11,1150.239990234375,1.3685319423675537
2010-03-12,1149.989990234375,1.376993179321289
2010-03-15,1150.510009765625,1.3677457571029663
2010-03-16,1159.4599609375,1.3768794536590576
2010-03-17,1166.2099609375,1.3738338947296143
2010-03-18,1165.8299560546875,1.361396312713623
2010-03-19,1159.9000244140625,1.353692889213562
2010-03-22,1165.81005859375,1.356704831123352
2010-03-23,1174.1700439453125,1.3468012809753418
2010-03-24,1167.719970703125,1.3331022262573242
2010-03-25,1165.72998046875,1.3307074308395386
2010-03-26,1166.5899658203125,1.3410038948059082
2010-03-29,1173.219970703125,1.3481086492538452
2010-03-30,1173.27001953125,1.3424079418182373
2010-03-31,1169.4300537109375,1.3508037328720093
2010-04-01,1178.0999755859375,1.3584003448486328
2010-04-05,1187.43994140625,1.34890878200531
2010-04-06,1189.43994140625,1.3401951789855957
2010-04-07,1182.449951171875,1.3348461389541626
2010-04-08,1186.43994140625,1.336112380027771
2010-04-09,1194.3699951171875,1.3500925302505493
2010-04-12,1196.47998046875,1.3596007823944092
2010-04-13,1197.300048828125,1.3608589172363281
2010-04-14,1210.6500244140625,1.3655978441238403
2010-04-15,1211.6700439453125,1.3574045896530151
2010-04-16,1192.1300048828125,1.3504024744033813
2010-04-19,1197.52001953125,1.348726749420166
2010-04-20,1207.1700439453125,1.343508243560791
2010-04-21,1205.93994140625,1.3389928340911865
2010-04-22,1208.6700439453125,1.3269991874694824
2010-04-23,1217.280029296875,1.338401436805725
2010-04-26,1212.050048828125,1.3401232957839966
2010-04-27,1183.7099609375,1.3170719146728516
2010-04-28,1191.3599853515625,1.321283221244812
2010-04-29,1206.780029296875,1.3262951374053955
2010-04-30,1186.68994140625,1.3298048973083496
2010-05-03,1202.260009765625,1.3199926614761353
2010-05-04,1173.5999755859375,1.2963947057724
2010-05-05,1165.8699951171875,1.2814927101135254
2010-05-06,1128.1500244140625,1.263296127319336
2010-05-07,1110.8800048828125,1.2756078243255615
2010-05-10,1159.72998046875,1.2779226303100586
2010-05-11,1155.7900390625,1.2629930973052979
2010-05-12,1171.6700439453125,1.2639029026031494
2010-05-13,1157.43994140625,1.2541072368621826
2010-05-14,1135.6800537109375,1.2360023260116577
2010-05-17,1136.93994140625,1.2392956018447876
2010-05-18,1120.800048828125,1.217893362045288
2010-05-19,1115.050048828125,1.2393416166305542
2010-05-20,1071.5899658203125,1.2478941679000854
2010-05-21,1087.68994140625,1.2567076683044434
2010-05-24,1073.6500244140625,1.234994888305664
2010-05-25,1074.030029296875,1.2345983982086182
2010-05-26,1067.949951171875,1.217300295829773
2010-05-27,1103.06005859375,1.2347966432571411
2010-05-28,1089.4100341796875,1.227400541305542
2010-06-01,1070.7099609375,1.2233014106750488
2010-06-02,1098.3800048828125,1.223900318145752
2010-06-03,1102.8299560546875,1.216944694519043
2010-06-04,1064.8800048828125,1.1971030235290527
2010-06-07,1050.469970703125,1.1922929286956787
2010-06-08,1062.0,1.197203278541565
2010-06-09,1055.68994140625,1.1991989612579346
2010-06-10,1086.8399658203125,1.2109030485153198
2010-06-11,1091.5999755859375,1.2114017009735107
2010-06-14,1089.6300048828125,1.2218068838119507
2010-06-15,1115.22998046875,1.2319064140319824
2010-06-16,1114.6099853515625,1.2311935424804688
2010-06-17,1116.0400390625,1.238206148147583
2010-06-18,1117.510009765625,1.2392956018447876
2010-06-21,1113.199951171875,1.2316029071807861
2010-06-22,1095.31005859375,1.2275059223175049
2010-06-23,1092.0400390625,1.2319064140319824
2010-06-24,1073.68994140625,1.2337453365325928
2010-06-25,1076.760009765625,1.2373021841049194
2010-06-28,1074.5699462890625,1.2277017831802368
2010-06-29,1041.239990234375,1.2186353206634521
2010-06-30,1030.7099609375,1.223002314567566
2010-07-01,1027.3699951171875,1.2507504224777222
2010-07-02,1022.5800170898438,1.257102608680725
2010-07-06,1028.06005859375,1.262403130531311
2010-07-07,1060.27001953125,1.2633121013641357
2010-07-08,1070.25,1.2694060802459717
2010-07-09,1077.9599609375,1.2643983364105225
2010-07-12,1078.75,1.2590018510818481
2010-07-13,1095.3399658203125,1.2720866203308105
2010-07-14,1095.1700439453125,1.274047613143921
2010-07-15,1096.47998046875,1.2928582429885864
2010-07-16,1064.8800048828125,1.2931926250457764
2010-07-19,1071.25,1.2939456701278687
2010-07-20,1083.47998046875,1.289307713508606
2010-07-21,1069.5899658203125,1.276796817779541
2010-07-22,1093.6700439453125,1.2903059720993042
2010-07-23,1102.6600341796875,1.291305661201477
2010-07-26,1115.010009765625,1.299899935722351
2010-07-27,1113.8399658203125,1.2990893125534058
2010-07-28,1106.1300048828125,1.2992243766784668
2010-07-29,1101.530029296875,1.307805061340332
2010-07-30,1101.5999755859375,1.3039000034332275
2010-08-02,1125.8599853515625,1.3175925016403198
2010-08-03,1120.4599609375,1.3225064277648926
2010-08-04,1127.239990234375,1.3225064277648926
2010-08-05,1125.81005859375,1.3158068656921387
2010-08-06,1121.6400146484375,1.3181308507919312
2010-08-09,1127.7900390625,1.3285682201385498
2010-08-10,1121.06005859375,1.3229963779449463
2010-08-11,1089.469970703125,1.3184958696365356
2010-08-12,1083.6099853515625,1.284406065940857
2010-08-13,1079.25,1.2829889059066772
2010-08-16,1079.3800048828125,1.277090311050415
2010-08-17,1092.5400390625,1.2811970710754395
2010-08-18,1094.1600341796875,1.2879958152770996
2010-08-19,1075.6300048828125,1.28564453125
2010-08-20,1071.68994140625,1.2808033227920532
2010-08-23,1067.3599853515625,1.2710033655166626
2010-08-24,1051.8699951171875,1.2635036706924438
2010-08-25,1055.3299560546875,1.263296127319336
2010-08-26,1047.219970703125,1.26639986038208
2010-08-27,1064.5899658203125,1.2706480026245117
2010-08-30,1048.9200439453125,1.2753963470458984
2010-08-31,1049.3299560546875,1.266592264175415
2010-09-01,1080.2900390625,1.268729567527771
2010-09-02,1090.0999755859375,1.2802950143814087
2010-09-03,1104.510009765625,1.2825939655303955
2010-09-07,1091.8399658203125,1.2868356704711914
2010-09-08,1098.8699951171875,1.2677966356277466
2010-09-09,1104.1800537109375,1.2732040882110596
2010-09-10,1109.550048828125,1.269309401512146
2010-09-13,1121.9000244140625,1.2716983556747437
2010-09-14,1121.0999755859375,1.2872000932693481
2010-09-15,1125.0699462890625,1.2991737127304077
2010-09-16,1124.6600341796875,1.3015071153640747
2010-09-17,1125.5899658203125,1.3075997829437256
2010-09-20,1142.7099609375,1.3043931722640991
2010-09-21,1139.780029296875,1.3066941499710083
2010-09-22,1134.280029296875,1.3256973028182983
2010-09-23,1124.8299560546875,1.3391003608703613
2010-09-24,1148.6700439453125,1.331912636756897
2010-09-27,1142.1600341796875,1.3479087352752686
2010-09-28,1147.699951171875,1.3439054489135742
2010-09-29,1144.72998046875,1.3570915460586548
2010-09-30,1141.199951171875,1.3628062009811401
2010-10-01,1146.239990234375,1.3622123003005981
2010-10-04,1137.030029296875,1.377695083618164
2010-10-05,1160.75,1.367409110069275
2010-10-06,1159.969970703125,1.3833937644958496
2010-10-07,1158.06005859375,1.3920016288757324
2010-10-08,1165.1500244140625,1.3927963972091675
2010-10-11,1165.3199462890625,1.3977607488632202
2010-10-12,1169.77001953125,1.3880213499069214
2010-10-13,1178.0999755859375,1.3916915655136108
2010-10-14,1173.81005859375,1.3967260122299194
2010-10-15,1176.18994140625,1.4072020053863525
2010-10-18,1184.7099609375,1.3964334726333618
2010-10-19,1165.9000244140625,1.3935922384262085
2010-10-20,1178.1700439453125,1.3739094734191895
2010-10-21,1180.260009765625,1.3963165283203125
2010-10-22,1183.0799560546875,1.3916915655136108
2010-10-25,1185.6199951171875,1.3944084644317627
2010-10-26,1185.6400146484375,1.3948947191238403
2010-10-27,1182.449951171875,1.3854252099990845
2010-10-28,1183.780029296875,1.377808928489685
2010-10-29,1183.260009765625,1.377808928489685
2010-11-01,1184.3800048828125,1.397506833076477
2010-11-02,1193.5699462890625,1.3910914659500122
2010-11-03,1197.9599609375,1.4036072492599487
2010-11-04,1221.06005859375,1.4127286672592163
2010-11-05,1225.8499755859375,1.422798991203308
2010-11-08,1223.25,1.407578468322754
2010-11-09,1213.4000244140625,1.3869625329971313
2010-11-10,1218.7099609375,1.377201795578003
2010-11-11,1213.5400390625,1.3775622844696045
2010-11-12,1199.2099609375,1.3621008396148682
2010-11-15,1197.75,1.3693190813064575
2010-11-16,1178.3399658203125,1.357478380203247
2010-11-17,1178.5899658203125,1.3490543365478516
2010-11-18,1196.68994140625,1.355399250984192
2010-11-19,1199.72998046875,1.365728497505188
2010-11-22,1197.8399658203125,1.3744381666183472
2010-11-23,1180.72998046875,1.3601926565170288
2010-11-24,1198.3499755859375,1.3386342525482178
2010-11-26,1189.4000244140625,1.3339736461639404
2010-11-29,1187.760009765625,1.3238019943237305
2010-11-30,1180.550048828125,1.3103927373886108
2010-12-01,1206.0699462890625,1.2992074489593506
2010-12-02,1221.530029296875,1.3124909400939941
2010-12-03,1224.7099609375,1.3215975761413574
2010-12-06,1223.1199951171875,1.341597557067871
2010-12-07,1223.75,1.328691840171814
2010-12-08,1228.280029296875,1.3244681358337402
2010-12-09,1233.0,1.3250824213027954
2010-12-10,1240.4000244140625,1.3242051601409912
2010-12-13,1240.4599609375,1.319713830947876
2010-12-14,1241.5899658203125,1.3395488262176514
2010-12-15,1235.22998046875,1.336094617843628
2010-12-16,1242.8699951171875,1.3224014043807983
2010-12-17,1243.9100341796875,1.323994755744934
2010-12-20,1247.0799560546875,1.3164995908737183
2010-12-21,1254.5999755859375,1.3118022680282593
2010-12-22,1258.8399658203125,1.3090033531188965
2010-12-23,1256.77001953125,1.3115441799163818
2010-12-27,1257.5400390625,1.3079760074615479
2010-12-28,1258.510009765625,1.3189654350280762
2010-12-29,1259.780029296875,1.3086265325546265
2010-12-30,1257.8800048828125,1.3224539756774902
2010-12-31,1257.6400146484375,1.3301233053207397
2011-01-03,1271.8699951171875,1.3357912302017212
2011-01-04,1270.199951171875,1.3356841802597046
2011-01-05,1276.56005859375,1.3321077823638916
2011-01-06,1273.8499755859375,1.3156856298446655
2011-01-07,1271.5,1.2979933023452759
2011-01-10,1269.75,1.289507269859314
2011-01-11,1274.47998046875,1.2964956760406494
2011-01-12,1285.9599609375,1.2983977794647217
2011-01-13,1283.760009765625,1.3128355741500854
2011-01-14,1293.239990234375,1.335327386856079
2011-01-18,1295.02001953125,1.3283917903900146
2011-01-19,1281.9200439453125,1.3378105163574219
2011-01-20,1280.260009765625,1.3452069759368896
2011-01-21,1283.3499755859375,1.3468012809753418
